GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ride-sharing,lapr.project.assessment,Facade,5555,0,280,0,1100,0,181,0,41,0
ride-sharing,lapr.project.assessment,Facade.new Comparator() {...},36,0,4,0,6,0,4,0,2,0
ride-sharing,lapr.project.utils,PhysicsAlgorithms,8,400,1,11,2,56,2,19,1,14
ride-sharing,lapr.project.ui,UserUI,381,0,26,0,96,0,28,0,11,0
ride-sharing,lapr.project.ui,AdminUI,1033,0,67,0,252,0,54,0,15,0
ride-sharing,lapr.project.ui,LoginUI,250,0,18,0,67,0,17,0,7,0
ride-sharing,lapr.project.ui,Main,171,0,0,0,24,0,2,0,2,0
ride-sharing,lapr.project.data,VehicleDataHandler,1077,5,52,0,290,1,42,1,16,1
ride-sharing,lapr.project.data,RentalDataHandler,2203,5,194,0,386,1,120,1,23,1
ride-sharing,lapr.project.data,HTMLDataSource,30,0,2,0,9,0,6,0,5,0
ride-sharing,lapr.project.data,UserDataHandler,714,5,30,0,179,1,24,1,9,1
ride-sharing,lapr.project.data,EmailHandler,108,0,0,0,26,0,4,0,4,0
ride-sharing,lapr.project.data,InvoiceDataHandler,241,5,12,0,71,1,11,1,5,1
ride-sharing,lapr.project.data,DataHandler,160,0,10,0,55,0,18,0,13,0
ride-sharing,lapr.project.data,ParkDataHandler,1850,5,98,0,463,1,75,1,26,1
ride-sharing,lapr.project.data,UserSession,15,0,2,0,6,0,4,0,3,0
ride-sharing,lapr.project.data,ScriptRunner,497,0,60,0,126,0,43,0,13,0
ride-sharing,lapr.project.data,InvoicePaymentDataHandler,163,5,6,0,44,1,7,1,4,1
ride-sharing,lapr.project.model,User,0,136,0,0,0,54,0,22,0,22
ride-sharing,lapr.project.model,Bicycle,0,91,0,8,0,21,0,11,0,7
ride-sharing,lapr.project.model,Edge,26,298,15,49,4,79,14,33,0,15
ride-sharing,lapr.project.model,InvoicePayment,7,0,0,0,3,0,3,0,3,0
ride-sharing,lapr.project.model,Rental,9,104,0,0,1,42,1,21,1,21
ride-sharing,lapr.project.model,Vehicle,0,160,0,8,0,46,0,21,0,17
ride-sharing,lapr.project.model,InvoiceLine,0,63,0,0,0,26,0,13,0,13
ride-sharing,lapr.project.model,Invoice,0,43,0,0,0,18,0,9,0,9
ride-sharing,lapr.project.model,GraphAlgorithms,8,360,3,41,4,72,4,23,1,4
ride-sharing,lapr.project.model,Receipt,0,53,0,0,0,22,0,11,0,11
ride-sharing,lapr.project.model,AdjacencyMatrix,79,252,14,26,15,57,13,23,2,14
ride-sharing,lapr.project.model,GeographicalLocation,0,123,1,11,0,27,1,14,0,9
ride-sharing,lapr.project.model,PointInterest,12,82,0,8,1,28,1,14,1,10
ride-sharing,lapr.project.model,Graph,19,724,11,89,7,162,11,66,0,27
ride-sharing,lapr.project.model,Path,0,71,0,0,0,29,0,12,0,12
ride-sharing,lapr.project.model,Capacity,0,84,0,10,0,26,0,14,0,9
ride-sharing,lapr.project.model,Park,0,140,0,8,0,42,0,20,0,16
ride-sharing,lapr.project.model,MatrixAlgorithms,10,137,3,17,2,11,4,8,1,1
ride-sharing,lapr.project.model,Vertex,20,276,9,29,5,71,9,27,0,17
ride-sharing,lapr.project.model,Scooter,0,154,0,12,0,38,0,19,0,13
ride-sharing,lapr.project.controller,RentalController,3,104,0,0,2,25,0,10,0,10
ride-sharing,lapr.project.controller,VehicleController,5,126,0,0,1,30,1,12,1,12
ride-sharing,lapr.project.controller,InvoiceController,0,34,0,0,0,10,0,4,0,4
ride-sharing,lapr.project.controller,UserController,0,80,0,0,0,21,0,8,0,8
ride-sharing,lapr.project.controller,ParkController,39,211,2,0,12,50,3,18,2,18
ride-sharing,lapr.project.controller,InvoicePaymentController,0,24,0,0,0,9,0,3,0,3
